trial           imageX            imageY            imageSize         response
1               469               212               300               Unshown
2               264               221               300               Unshown
3               498               279               300               Unshown
4               6                 171               300               Unshown
5               18                318               300               Unshown
6               534               126               300               Unshown
7               245               265               300               Unshown
8               400               262               300               Unshown
9               367               74                300               Unshown
10              292               76                300               Unshown
11              433               258               300               Unshown
12              64                49                300               Unshown
13              45                39                300               Unshown
14              68                105               300               Unshown
15              631               32                300               Unshown
16              71                137               300               Unshown
17              275               111               300               Unshown
18              554               217               300               Unshown
