trial           image1X           image1Y           image2X           image2Y           imageSize         response
1               33                322               714               264               200               Unshown
2               536               146               763               467               200               Unshown
3               77                231               327               40                200               Unshown
4               632               47                256               373               200               Unshown
5               478               457               638               137               200               Unshown
6               422               23                625               270               200               Unshown
7               496               48                284               323               200               Unshown
8               548               358               103               202               200               Unshown
9               241               120               120               413               200               Unshown
10              391               283               127               215               200               Unshown
11              327               238               796               120               200               Unshown
12              563               396               191               5                 200               Unshown
13              633               39                613               382               200               Unshown
14              723               251               91                311               200               Unshown
15              351               93                32                20                200               Unshown
16              326               153               736               128               200               Unshown
17              403               64                681               435               200               Unshown
18              448               368               143               144               200               Unshown
19              272               3                 428               246               200               Unshown
20              730               245               32                17                200               Unshown
21              178               402               319               156               200               Unshown
22              382               64                811               182               200               Unshown
23              313               285               609               2                 200               Unshown
24              822               172               275               125               200               Unshown
25              574               50                818               17                200               Unshown
26              817               436               243               323               200               Unshown
27              153               248               492               257               200               Unshown
28              484               372               153               93                200               Unshown
29              96                27                317               200               200               Unshown
30              1                 109               466               465               200               Unshown
31              336               119               704               438               200               Unshown
32              598               347               629               89                200               Unshown                     
